Station Name,Street Address,City,State,Zip Code,Connector1,Connector2,Connector3,Connector4,Geocode Status,Latitude,Longitude,ID
Berry Springs Lodge - Tesla,2149 Seaton Springs Rd,Sevierville,TN,37862,,1,,,200-9,35.817985,-83.501494,72195
Ponzi Vineyards - Tesla,19500 SW Mountain Home Rd,Sherwood,OR,97140,,1,,,200-9,45.380444,-122.937156,79759
Embassy Suites Myrtle Beach,9800 Queensway Blvd,Myrtle Beach,SC,29572,,2,,,200-8,33.768128,-78.777878,71711
Range Country Lodging - Tesla,302 W 5th St,Murdo,SD,57559,,,4,,200-8,43.886637,-100.716108,53985
Oxford Suites Spokane,115 W North River Dr,Spokane,WA,99201,,3,,,200-9,47.663441,-117.412777,71791
Hilton Garden Inn Greenville - Tesla,108 Carolina Point,Greenville,SC,29605,,,8,,200-9,34.825246,-82.307116,71838
Torre di Pietra Winery,10915 E Highway 290,Fredericksburg,TX,78624,,3,,,200-9,30.222687,-98.716889,68530
Rayzor Ranch Marketplace - Tesla,2700 W University Dr,Denton,TX,76201,,,6,,200-9,33.232081,-97.168435,71840
Comfort Inn and Suites,339 Mt Rushmore Rd,Custer,SD,57730,,2,,,200-8,43.765569,-103.602851,72189
Lansing Board of Water & Light,1232 Haco Dr,Lansing,MI,48912,,4,,,200-9,42.719852,-84.535011,50841
Holiday Inn Express & Suites - Tesla,148 Interstate 45,Huntsville,TX,77340,,,6,,200-9,30.71573,-95.566152,53698
Comfort Inn & Suites ,6603 NE Zac Lentz Pkwy,Victoria,TX,77904,,3,,,200-8,28.86351,-96.988219,79456
Moody Gardens,7 Hope Blvd,Galveston,TX,77557,,3,,,200-9,29.272693,-94.850995,68275
Comfort Inn and Suites - Tesla,2535 Texas 71,Columbus,TX,78934,,,6,,200-8,29.689311,-96.538206,53228
Homewood Suites - Tesla,950 University Dr E,College Station,TX,77840,,1,,,200-9,30.633489,-96.323218,75158
Best Western Plus College Station Inn and Suites - Tesla,950 Arrington Rd,College Station,TX,77845,,1,,,200-9,30.564171,-96.266574,75135
Austin Terrior - Tesla,3435 Greystone Dr,Austin,TX,78731,,2,,,200-9,30.357443,-97.74838,80371
Sandrift Resort - Tesla,1080 E Hiawatha Dr,Wisconsin Dells,WI,53965,,2,,,200-9,43.607312,-89.782515,71308
Henry M. Gunn High School,780 Arastradero Rd,Palo Alto,CA,94306,,2,,,200-9,37.40334,-122.133439,89027
University of Jamestown,6000 College Ln,Jamestown,ND,58405,,1,,,200-8,46.91603,-98.702518,89921
Swedish American Hospital,1418 E State St,Rockford,IL,61104,,4,,,200-8,42.266938,-89.07255,74350
Soaring Eagle Casino and Resort - Tesla,6800 Soaring Eagle Blvd,Mt Pleasant,MI,48858,,1,,,200-8,43.609334,-84.710384,71701
The Westmoor Club - Tesla,10 Westmoor Ln,Nantucket,MA,2554,,2,,,200-9,41.289226,-70.117217,72148
Applegate Inn - Tesla,279 W Park St,Lee,MA,1238,,1,,,200-9,42.301083,-73.258542,72126
