State,Zip Code,Returns Filed,AGI
PA,19057,8700,431971
PA,19056,8000,472204
PA,19055,6910,341314
PA,19054,8930,481829
PA,19053,14330,1015532
PA,19050,14740,706528
PA,19047,17860,1534381
PA,19046,9550,1376282
PA,19044,8790,628219
PA,19043,1450,76909
PA,19041,2950,1135026
PA,19040,11480,766842
PA,19038,15360,1384186
PA,19036,6720,329918
PA,19035,2020,1933467
PA,19034,3310,652477
PA,19033,4090,244675
PA,19032,3240,134555
PA,19031,2300,292484
PA,19030,6310,374529
PA,19029,2160,103447
PA,19027,9890,824338
PA,19026,16100,1054598
PA,19025,2950,439518
PA,19023,9710,327670
PA,19022,1640,67844
PA,19021,5120,236299
PA,19020,28450,1676479
PA,19018,12170,624368
PA,19015,8210,414864
PA,19014,10620,730022
PA,19013,13390,373559
PA,19012,3340,238641
PA,19010,8990,2487355
PA,19008,10630,884206
PA,19007,10770,467787
PA,19006,11180,2041345
PA,19004,5010,840428
PA,19003,6700,695011
PA,19002,16540,2418455
PA,19001,8770,588762
PA,18977,2200,387977
PA,18976,10790,951358
PA,18974,22080,1618484
PA,18972,1550,114252
PA,18969,8090,583099
PA,18966,20520,1830801
PA,18964,7220,481849
PA,18960,6770,453992
PA,18955,770,43107
PA,18954,4960,678244
PA,18951,17380,1125434
PA,18947,2930,333096
PA,18944,12210,992767
PA,18942,1540,130808
PA,18940,15580,2707987
PA,18938,7090,1651899
PA,18936,190,13922
PA,18932,290,21407
PA,18930,1270,100032
PA,18929,4470,570181
PA,18925,2860,402430
PA,18923,540,62692
PA,18920,350,51780
PA,18917,1140,64198
PA,18915,740,49443
PA,18914,10520,1029824
PA,18913,230,47470
PA,18902,10350,1564741
PA,18901,14120,1545403
PA,18854,720,33244
PA,18853,2040,121695
PA,18851,320,14231
PA,18850,1210,56311
PA,18848,4180,214160
PA,18847,2350,117469
PA,18846,360,21193
PA,18845,180,11239
PA,18844,820,51668
PA,18842,150,6823
PA,18840,5030,277173
PA,18837,1380,63492
PA,18834,1660,98319
PA,18833,910,44602
PA,18832,800,35229
PA,18831,580,28017
PA,18830,360,21085
PA,18829,390,20042
PA,18828,140,5478
PA,18826,880,54767
PA,18824,620,34567
PA,18823,110,6480
PA,18822,1620,71546
PA,18821,540,22303
PA,18818,610,30656
PA,18812,730,48717
PA,18810,2660,138205
PA,18801,4010,221242
PA,18709,1440,53133
PA,18708,4570,426180
PA,18707,7960,617952
PA,18706,8090,352369
PA,18705,7550,332069
PA,18704,15610,770016
PA,18702,18080,747423
PA,18701,710,28167
PA,18661,2730,130533
PA,18660,1860,98256
PA,18657,5570,327807
PA,18656,1090,56718
PA,18655,2880,153863
PA,18651,4200,153298
PA,18644,3900,228117
PA,18643,6260,318348
PA,18642,2260,116153
PA,18641,3500,163265
PA,18640,8250,415746
PA,18636,650,28849
PA,18635,1940,98499
PA,18634,6430,269368
PA,18632,150,6187
PA,18630,1520,91154
PA,18629,860,45959
PA,18628,110,4334
PA,18623,1260,60481
PA,18622,140,6492
PA,18621,2400,118037
PA,18619,100,4791
PA,18618,1910,119178
PA,18617,810,27814
PA,18616,330,15730
PA,18615,930,48249
PA,18614,1140,56077
PA,18612,7440,569151
PA,18610,2380,116352
PA,18603,9330,420499
PA,18519,2770,119307
PA,18518,4420,218827
PA,18517,2620,105090
PA,18512,6530,322170
PA,18510,4810,198154
PA,18509,5640,281889
PA,18508,5050,176291
PA,18507,2580,207903
PA,18505,9410,376526
PA,18504,10110,397198
PA,18503,380,14890
PA,18472,2020,108155
PA,18470,1110,64121
PA,18469,210,9994
PA,18466,7240,296940
PA,18465,610,31899
PA,18464,710,55729
PA,18463,110,4347
PA,18462,210,9461
PA,18461,150,6908
PA,18458,1380,87197
PA,18456,200,8713
PA,18453,490,23274
PA,18452,2450,121681
PA,18451,260,19963
PA,18447,5350,261132
PA,18446,1700,85416
PA,18445,1070,56038
PA,18444,6490,421765
PA,18443,220,11465
PA,18439,230,12614
PA,18438,560,39064
PA,18436,6240,351413
PA,18435,480,27993
PA,18434,2120,93750
PA,18433,3400,169180
PA,18431,6300,313094
PA,18428,5600,321659
PA,18426,1890,102372
PA,18425,560,24231
PA,18424,2620,143634
PA,18421,2250,107784
PA,18419,2130,113526
PA,18417,500,23615
PA,18415,530,28751
PA,18414,2730,208795
PA,18411,11030,922335
PA,18407,6520,278838
PA,18405,1140,58800
PA,18403,3780,218803
PA,18372,1430,86682
PA,18371,350,21880
PA,18370,550,31310
PA,18360,13620,788276
PA,18355,660,34661
PA,18354,570,31302
PA,18353,5770,327779
PA,18352,310,17580
PA,18350,800,68014
PA,18347,1390,70161
PA,18346,1600,72964
PA,18344,1850,78814
PA,18343,1990,143400
PA,18337,7180,463488
PA,18336,1720,87963
PA,18334,1750,88040
PA,18333,490,25176
PA,18332,1450,78777
PA,18331,420,17937
PA,18330,3960,204798
PA,18328,3570,209209
PA,18326,2120,118582
PA,18325,1130,57519
PA,18324,4300,205236
PA,18322,1390,69588
PA,18321,970,49122
PA,18302,7800,466766
PA,18301,11750,661392
PA,18255,2120,101333
PA,18252,5060,235172
PA,18250,1430,64473
PA,18249,2050,151409
PA,18241,310,12118
PA,18240,1700,87124
PA,18237,1700,62222
PA,18235,9110,471260
PA,18232,1670,52389
PA,18231,220,8679
PA,18229,4000,211811
PA,18224,2980,112888
PA,18222,4580,295621
PA,18218,1010,37026
PA,18216,640,26740
PA,18214,1090,60389
PA,18211,700,42611
PA,18210,3660,173570
PA,18202,6220,266020
PA,18201,14230,457753
PA,18109,9220,321470
PA,18106,3660,316280
PA,18104,21930,1637067
PA,18103,23770,1322807
PA,18102,22330,554346
PA,18101,1600,41769
PA,18092,1570,144496
PA,18091,3030,179670
