Stn ID,Average AGI,Connectors,Nearest Zip Distance,Stn Lat,Stn Lng,Stn State,Zip Code,formatted_agi
77050.0,48451.46,8.0,,33.137163,-95.602921,TX,75482,"$48,451.46"
77052.0,527691.28,24.0,,37.44149022,-122.17111340000001,CA,94304,"$527,691.28"
77053.0,68565.21,2.0,,44.0127652,-73.1716718,VT,05753,"$68,565.21"
77054.0,68080.65,2.0,,45.5015237,-119.82681059999999,OR,97843,"$68,080.65"
77056.0,49367.55,4.0,,34.063139,-117.61148,CA,91761,"$49,367.55"
77059.0,96263.93,1.0,,41.373074,-71.954088,CT,06355,"$96,263.93"
77064.0,62454.9,4.0,,37.591229999999996,-77.493183,VA,23230,"$62,454.90"
77065.0,96527.13,4.0,,41.593917,-93.788136,IA,50266,"$96,527.13"
77066.0,527691.28,10.0,,37.416878999999994,-122.14868799999999,CA,94304,"$527,691.28"
77088.0,36936.99,1.0,,26.00981,-80.146171,FL,33020,"$36,936.99"
77094.0,71674.23,6.0,,40.5868461,-105.0787343,CO,80524,"$71,674.23"
77095.0,104536.73,2.0,,43.0774598,-70.7591843,NH,03801,"$104,536.73"
77096.0,98108.37,2.0,,40.4580434,-106.8057452,CO,80487,"$98,108.37"
77099.0,90862.28,2.0,,29.6063157,-98.4621484,TX,78232,"$90,862.28"
77104.0,28407.87,1.0,,28.30452538,-81.41508484,FL,34741,"$28,407.87"
77105.0,92012.3,6.0,,34.1330809,-118.0524379,CA,91007,"$92,012.30"
77108.0,154247.06,2.0,,33.7802739,-84.3868056,GA,30309,"$154,247.06"
77111.0,75289.18,2.0,,37.268750399999995,-107.87431880000001,CO,81301,"$75,289.18"
77115.0,46541.67,1.0,,32.230382,-110.95878400000001,AZ,85701,"$46,541.67"
77122.0,187199.21,6.0,,39.1520206,-76.90268640000001,MD,20759,"$187,199.21"
77123.0,177626.44,4.0,,42.363409999999995,-71.086732,MA,02142,"$177,626.44"
77124.0,88372.86,2.0,,30.2614841,-81.4947475,FL,32224,"$88,372.86"
77127.0,54343.74,4.0,,33.40676,-84.16748,GA,30253,"$54,343.74"
77132.0,527963.95,2.0,,40.7151023,-74.0163292,NY,10282,"$527,963.95"
77133.0,527963.95,3.0,,40.716604,-74.016103,NY,10282,"$527,963.95"
77134.0,231156.75,2.0,,40.7435617,-73.9918929,NY,10010,"$231,156.75"
77135.0,24992.0,1.0,,29.421218100000004,-98.52940749999999,TX,78207,"$24,992.00"
77140.0,57379.87,2.0,,38.449962,-122.71713500000001,CA,95401,"$57,379.87"
77141.0,44358.8,1.0,,28.54725,-81.20466,FL,32825,"$44,358.80"
77143.0,36047.75,2.0,,28.407818,-81.47330600000001,FL,32821,"$36,047.75"
77144.0,227589.25,2.0,,40.6430734,-74.515243,NJ,07059,"$227,589.25"
77145.0,163284.01,2.0,,33.891576799999996,-84.32378409999998,GA,30319,"$163,284.01"
77146.0,150453.47,2.0,,38.804191700000004,-77.06238409999999,VA,22314,"$150,453.47"
77147.0,127693.74,2.0,,26.232645,-80.089455,FL,33062,"$127,693.74"
77148.0,129051.28,2.0,,33.9566848,-84.333046,GA,30338,"$129,051.28"
77149.0,77830.35,2.0,,39.522540899999996,-76.3581438,MD,21014,"$77,830.35"
77183.0,64469.78,6.0,,38.98537,-77.006935,MD,20912,"$64,469.78"
