,AGI State,Stn State,Zip Code,Average AGI,Stn ID,Stn Lat,Stn Lng,Connectors,Nearest Zip Distance,State,formatted_agi
7314,TX,TX,78224,33490.28,43283.0,29.360048,-98.53302099999999,4.0,,,"$33,490.28"
7315,TX,TX,78224,33490.28,60053.0,29.323238,-98.54302,4.0,,,"$33,490.28"
7316,TX,TX,78223,36095.8,43782.0,29.381666,-98.457133,4.0,,,"$36,095.80"
7317,TX,TX,78221,32322.84,43288.0,29.356393,-98.52475600000001,3.0,,,"$32,322.84"
7318,TX,TX,78221,32322.84,75677.0,29.355528200000002,-98.5234595,1.0,,,"$32,322.84"
7319,TX,TX,78218,41426.99,42646.0,29.514364,-98.405441,4.0,,,"$41,426.99"
7320,TX,TX,78218,41426.99,77226.0,29.509403999999996,-98.396017,4.0,,,"$41,426.99"
7321,TX,TX,78216,60602.23,63984.0,29.551307,-98.485292,2.0,,,"$60,602.23"
7322,TX,TX,78216,60602.23,60914.0,29.514269199999998,-98.4760301,2.0,,,"$60,602.23"
7323,TX,TX,78216,60602.23,74088.0,29.516184000000003,-98.497361,4.0,,,"$60,602.23"
7324,TX,TX,78216,60602.23,74263.0,29.5647293,-98.48802049999999,1.0,,,"$60,602.23"
7325,TX,TX,78216,60602.23,76728.0,29.564662100000003,-98.4879047,1.0,,,"$60,602.23"
7326,TX,TX,78216,60602.23,86846.0,29.526642,-98.47501679999999,8.0,,,"$60,602.23"
7327,TX,TX,78216,60602.23,88502.0,29.526453000000004,-98.473272,6.0,,,"$60,602.23"
7328,TX,TX,78216,60602.23,92500.0,29.526593,-98.4750796,2.0,,,"$60,602.23"
7329,TX,TX,78216,60602.23,94716.0,29.5398714,-98.4876223,2.0,,,"$60,602.23"
7330,TX,TX,78215,77530.0,65763.0,29.4433499,-98.4804328,2.0,,,"$77,530.00"
7331,TX,TX,78215,77530.0,73402.0,29.438838,-98.481319,2.0,,,"$77,530.00"
7332,TX,TX,78214,28237.01,77959.0,29.3604897,-98.4792295,1.0,,,"$28,237.01"
7333,TX,TX,78212,92176.74,43282.0,29.469866999999997,-98.497178,3.0,,,"$92,176.74"
7334,TX,TX,78212,92176.74,63405.0,29.446222,-98.493963,4.0,,,"$92,176.74"
7335,TX,TX,78210,32912.33,43776.0,29.392346999999997,-98.488454,3.0,,,"$32,912.33"
7336,TX,TX,78210,32912.33,75678.0,29.393264000000002,-98.48919509999999,1.0,,,"$32,912.33"
7337,TX,TX,78209,173846.7,39751.0,29.517253000000004,-98.467365,1.0,,,"$173,846.70"
7338,TX,TX,78209,173846.7,74053.0,29.470501000000002,-98.463835,4.0,,,"$173,846.70"
7339,TX,TX,78208,26432.4,82766.0,29.5857909,-98.30153390000001,2.0,,,"$26,432.40"
7340,TX,TX,78207,24992.0,42652.0,29.421903000000004,-98.52885400000001,3.0,,,"$24,992.00"
7341,TX,TX,78207,24992.0,43777.0,29.422837,-98.50273320000001,2.0,,,"$24,992.00"
7342,TX,TX,78207,24992.0,74051.0,29.422843,-98.502753,2.0,,,"$24,992.00"
7343,TX,TX,78207,24992.0,74135.0,29.428074,-98.501544,4.0,,,"$24,992.00"
7344,TX,TX,78207,24992.0,75003.0,29.430151000000002,-98.501672,4.0,,,"$24,992.00"
7345,TX,TX,78207,24992.0,77135.0,29.421218100000004,-98.52940749999999,1.0,,,"$24,992.00"
7346,TX,TX,78205,206467.09,89606.0,29.417234999999998,-98.48977099999999,1.0,,,"$206,467.09"
7347,TX,TX,78205,206467.09,89607.0,29.427283000000003,-98.489125,2.0,,,"$206,467.09"
7348,TX,TX,78205,206467.09,68503.0,29.420243,-98.485196,2.0,,,"$206,467.09"
7349,TX,TX,78205,206467.09,75165.0,29.425566999999997,-98.48824499999999,2.0,,,"$206,467.09"
7350,TX,TX,78205,206467.09,81945.0,29.422815000000003,-98.493044,2.0,,,"$206,467.09"
7351,TX,TX,78205,206467.09,34829.0,29.427253999999998,-98.49013599999999,2.0,,,"$206,467.09"
7352,TX,TX,78205,206467.09,64097.0,29.4225897,-98.483369,1.0,,,"$206,467.09"
7353,TX,TX,78205,206467.09,64103.0,29.431906899999994,-98.49283879999999,1.0,,,"$206,467.09"
7354,TX,TX,78205,206467.09,73651.0,29.422797999999997,-98.49101,2.0,,,"$206,467.09"
7355,TX,TX,78205,206467.09,76435.0,29.426168,-98.490155,2.0,,,"$206,467.09"
7356,TX,TX,78205,206467.09,76436.0,29.4285582,-98.49096949999999,1.0,,,"$206,467.09"
7357,TX,TX,78204,46923.11,68525.0,29.417283,-98.492711,1.0,,,"$46,923.11"
7358,TX,TX,78203,24747.51,75002.0,29.417832,-98.456213,4.0,,,"$24,747.51"
7359,TX,TX,78202,26237.88,68500.0,29.426655,-98.481024,3.0,,,"$26,237.88"
7360,TX,TX,78201,32908.79,56481.0,29.491444,-98.54934300000001,4.0,,,"$32,908.79"
7361,TX,TX,78201,32908.79,73920.0,29.492890000000003,-98.55114499999999,3.0,,,"$32,908.79"
7362,TX,TX,78201,32908.79,73921.0,29.493881,-98.55302900000001,4.0,,,"$32,908.79"
7363,TX,TX,78155,51609.68,89609.0,29.602059999999998,-97.950029,3.0,,,"$51,609.68"
7364,TX,TX,78148,52670.48,41939.0,29.5640011,-98.32688900000001,2.0,,,"$52,670.48"
7365,TX,TX,78148,52670.48,52854.0,29.543616999999998,-98.323428,4.0,,,"$52,670.48"
7366,TX,TX,78130,59286.16,79136.0,29.717508000000002,-98.071875,2.0,,,"$59,286.16"
7367,TX,TX,78130,59286.16,89601.0,29.695115,-98.09905400000001,2.0,,,"$59,286.16"
7368,TX,TX,78124,56371.89,89600.0,29.522309000000003,-98.137507,3.0,,,"$56,371.89"
7369,TX,TX,78114,58671.98,89587.0,29.135820000000002,-98.146748,2.0,,,"$58,671.98"
7370,TX,TX,78071,67071.52,79207.0,28.521176,-98.185215,8.0,,,"$67,071.52"
7371,TX,TX,78041,48359.16,39736.0,27.528418,-99.458211,1.0,,,"$48,359.16"
7372,TX,TX,78028,61384.54,53586.0,30.0476268,-99.1418551,2.0,,,"$61,384.54"
7373,TX,TX,78024,96576.47,89596.0,30.067054,-99.330143,4.0,,,"$96,576.47"
7374,TX,TX,78022,68160.75,68506.0,28.319325,-98.112851,2.0,,,"$68,160.75"
7375,TX,TX,78013,70021.72,75161.0,29.966317,-98.907382,1.0,,,"$70,021.72"
7376,TX,TX,78006,122687.49,85978.0,29.754087,-98.70638000000001,3.0,,,"$122,687.49"
7377,TX,TX,78006,122687.49,74139.0,29.779853000000003,-98.729985,2.0,,,"$122,687.49"
7378,TX,TX,77904,84102.7,39759.0,28.851422999999997,-96.997881,1.0,,,"$84,102.70"
7379,TX,TX,77904,84102.7,79456.0,28.863509999999998,-96.988219,3.0,,,"$84,102.70"
7380,TX,TX,77901,40975.89,74238.0,28.767511,-96.97867600000001,6.0,,,"$40,975.89"
7381,TX,TX,77880,63013.41,89610.0,30.220619,-96.25976999999999,2.0,,,"$63,013.41"
7382,TX,TX,77845,91626.94,46372.0,30.596482399999996,-96.35355,1.0,,,"$91,626.94"
7383,TX,TX,77845,91626.94,39715.0,30.639201,-96.30671,1.0,,,"$91,626.94"
7384,TX,TX,77845,91626.94,75135.0,30.564171,-96.266574,1.0,,,"$91,626.94"
7385,TX,TX,77840,37832.21,75158.0,30.633489,-96.32321800000001,1.0,,,"$37,832.21"
7386,TX,TX,77840,37832.21,79921.0,30.616501,-96.3373436,2.0,,,"$37,832.21"
7387,TX,TX,77840,37832.21,88435.0,30.616656699999997,-96.3351579,2.0,,,"$37,832.21"
7388,TX,TX,77833,59125.13,78593.0,30.149036,-96.385924,2.0,,,"$59,125.13"
7389,TX,TX,77803,30937.93,68515.0,30.6526842,-96.4047468,1.0,,,"$30,937.93"
7390,TX,TX,77802,63948.18,75151.0,30.646415,-96.301722,2.0,,,"$63,948.18"
7391,TX,TX,77802,63948.18,75379.0,30.6638723,-96.325963,2.0,,,"$63,948.18"
7392,TX,TX,77705,45765.75,75157.0,30.043046,-94.150541,2.0,,,"$45,765.75"
7393,TX,TX,77705,45765.75,49063.0,30.043788899999996,-94.0730515,2.0,,,"$45,765.75"
7394,TX,TX,77701,30023.99,39713.0,30.062534999999997,-94.133511,1.0,,,"$30,023.99"
7395,TX,TX,77701,30023.99,60495.0,30.0577953,-94.13586070000001,2.0,,,"$30,023.99"
7396,TX,TX,77701,30023.99,71728.0,30.0850512,-94.0970368,2.0,,,"$30,023.99"
7397,TX,TX,77657,73156.26,89912.0,30.188090999999996,-94.15973199999999,1.0,,,"$73,156.26"
7398,TX,TX,77656,52662.29,39755.0,30.314894,-94.18396,1.0,,,"$52,662.29"
7399,TX,TX,77640,39773.96,39745.0,29.953433,-94.0071,1.0,,,"$39,773.96"
7400,TX,TX,77598,47211.56,47540.0,29.5844,-95.1799,2.0,,,"$47,211.56"
7401,TX,TX,77591,41921.8,65574.0,29.412535,-95.04149,1.0,,,"$41,921.80"
7402,TX,TX,77591,41921.8,67027.0,29.426819000000002,-95.058525,4.0,,,"$41,921.80"
7403,TX,TX,77584,93906.91,80377.0,29.578959,-95.383664,2.0,,,"$93,906.91"
7404,TX,TX,77584,93906.91,48237.0,29.583886,-95.387923,2.0,,,"$93,906.91"
7405,TX,TX,77584,93906.91,51565.0,29.554477000000002,-95.38087900000001,2.0,,,"$93,906.91"
7406,TX,TX,77584,93906.91,93266.0,29.583109999999998,-95.38723,5.0,,,"$93,906.91"
7407,TX,TX,77578,92008.72,92453.0,29.536707,-95.3891008,2.0,,,"$92,008.72"
7408,TX,TX,77573,94389.61,39737.0,29.484543,-95.10255,1.0,,,"$94,389.61"
7409,TX,TX,77573,94389.61,63587.0,29.498013399999998,-95.10974279999999,2.0,,,"$94,389.61"
7410,TX,TX,77573,94389.61,93285.0,29.501379999999997,-95.11391,5.0,,,"$94,389.61"
7411,TX,TX,77571,65753.06,89598.0,29.656803999999998,-95.027872,2.0,,,"$65,753.06"
7412,TX,TX,77566,93132.93,71180.0,29.026255,-95.449404,2.0,,,"$93,132.93"
7413,TX,TX,77566,93132.93,91900.0,29.018348,-95.43417600000001,1.0,,,"$93,132.93"
7414,TX,TX,77554,106967.01,38354.0,29.287094,-94.8609,1.0,,,"$106,967.01"
7415,TX,TX,77551,51653.53,89589.0,29.2724,-94.818399,2.0,,,"$51,653.53"
7416,TX,TX,77551,51653.53,89590.0,29.270229999999998,-94.821473,1.0,,,"$51,653.53"
7417,TX,TX,77550,53167.21,89591.0,29.305228999999997,-94.79892199999999,2.0,,,"$53,167.21"
7418,TX,TX,77550,53167.21,80375.0,29.302838,-94.809076,2.0,,,"$53,167.21"
7419,TX,TX,77550,53167.21,61797.0,29.308233,-94.79273,2.0,,,"$53,167.21"
7420,TX,TX,77550,53167.21,65030.0,29.3299396,-94.7720378,1.0,,,"$53,167.21"
7421,TX,TX,77546,112788.77,46376.0,29.522391,-95.160844,2.0,,,"$112,788.77"
7422,TX,TX,77536,71387.4,89583.0,29.695175,-95.125098,2.0,,,"$71,387.40"
7423,TX,TX,77531,53842.49,68523.0,29.042108000000002,-95.401923,1.0,,,"$53,842.49"
7424,TX,TX,77531,53842.49,75153.0,29.010215999999996,-95.411268,1.0,,,"$53,842.49"
7425,TX,TX,77531,53842.49,75147.0,29.010215999999996,-95.41132900000001,1.0,,,"$53,842.49"
7426,TX,TX,77530,41449.96,79205.0,29.784540000000003,-95.110212,8.0,,,"$41,449.96"
7427,TX,TX,77521,59884.46,39712.0,29.806862,-94.97243890000001,1.0,,,"$59,884.46"
7428,TX,TX,77521,59884.46,93292.0,29.806397999999998,-94.98156,3.0,,,"$59,884.46"
7429,TX,TX,77505,73942.53,81940.0,29.657163,-95.157862,2.0,,,"$73,942.53"
7430,TX,TX,77503,42548.71,52853.0,29.671915000000002,-95.155054,1.0,,,"$42,548.71"
7431,TX,TX,77494,143330.15,39733.0,29.775353999999997,-95.817237,1.0,,,"$143,330.15"
7432,TX,TX,77494,143330.15,50723.0,29.712476000000002,-95.771629,4.0,,,"$143,330.15"
7433,TX,TX,77494,143330.15,93376.0,29.775540999999997,-95.80797700000001,6.0,,,"$143,330.15"
7434,TX,TX,77488,47045.77,77489.0,29.327662,-96.119839,2.0,,,"$47,045.77"
7435,TX,TX,77479,156220.96,58308.0,29.58772,-95.626855,4.0,,,"$156,220.96"
7436,TX,TX,77478,136050.2,93275.0,29.599249,-95.622559,3.0,,,"$136,050.20"
7437,TX,TX,77477,51020.44,39756.0,29.645808000000002,-95.57611999999999,2.0,,,"$51,020.44"
7438,TX,TX,77471,46116.76,39747.0,29.534537,-95.772812,1.0,,,"$46,116.76"
7439,TX,TX,77469,70137.26,51311.0,29.692808000000003,-95.775094,2.0,,,"$70,137.26"
7440,TX,TX,77459,110088.64,50901.0,29.5716,-95.5727,2.0,,,"$110,088.64"
7441,TX,TX,77445,55850.18,50198.0,30.098000000000003,-96.0727,2.0,,,"$55,850.18"
7442,TX,TX,77422,65421.28,68514.0,29.049064,-95.567054,2.0,,,"$65,421.28"
7443,TX,TX,77401,316460.85,81386.0,29.7182901,-95.4485168,2.0,,,"$316,460.85"
7444,TX,TX,77388,76810.7,75892.0,30.04395,-95.431804,2.0,,,"$76,810.70"
7445,TX,TX,77388,76810.7,93300.0,30.053092,-95.43288299999999,3.0,,,"$76,810.70"
7446,TX,TX,77386,98357.02,46384.0,30.110736600000003,-95.38792070000001,1.0,,,"$98,357.02"
7447,TX,TX,77386,98357.02,45164.0,30.120986,-95.44004699999999,2.0,,,"$98,357.02"
7448,TX,TX,77385,74965.73,77490.0,30.176682,-95.447739,2.0,,,"$74,965.73"
7449,TX,TX,77385,74965.73,92261.0,30.2063373,-95.4532988,3.0,,,"$74,965.73"
7450,TX,TX,77385,74965.73,92263.0,30.206384000000003,-95.4533122,2.0,,,"$74,965.73"
7451,TX,TX,77384,108846.23,61016.0,30.1987739,-95.4563901,2.0,,,"$108,846.23"
7452,TX,TX,77384,108846.23,88109.0,30.1987522,-95.4568682,2.0,,,"$108,846.23"
7453,TX,TX,77384,108846.23,88187.0,30.198217800000002,-95.45653459999998,2.0,,,"$108,846.23"
7454,TX,TX,77381,185412.81,66824.0,30.177346000000004,-95.475541,1.0,,,"$185,412.81"
7455,TX,TX,77381,185412.81,73723.0,30.1688358,-95.47077970000001,2.0,,,"$185,412.81"
7456,TX,TX,77380,146105.6,45165.0,30.163268,-95.463094,2.0,,,"$146,105.60"
7457,TX,TX,77380,146105.6,87896.0,30.170332000000002,-95.47202800000001,4.0,,,"$146,105.60"
7458,TX,TX,77380,146105.6,93283.0,30.12698,-95.445351,3.0,,,"$146,105.60"
7459,TX,TX,77375,78353.89,49740.0,30.033375,-95.602006,1.0,,,"$78,353.89"
7460,TX,TX,77373,53461.14,77487.0,30.105053,-95.429689,2.0,,,"$53,461.14"
7461,TX,TX,77373,53461.14,77485.0,30.104226,-95.428652,2.0,,,"$53,461.14"
7462,TX,TX,77373,53461.14,82674.0,30.104076199999998,-95.42881659999999,3.0,,,"$53,461.14"
7463,TX,TX,77356,110944.83,75167.0,30.396713000000002,-95.63787099999999,1.0,,,"$110,944.83"
7464,TX,TX,77354,94616.24,78724.0,30.217551,-95.565434,3.0,,,"$94,616.24"
7465,TX,TX,77340,48572.35,53698.0,30.715729999999997,-95.566152,6.0,,,"$48,572.35"
7466,TX,TX,77340,48572.35,87468.0,30.7065179,-95.5472576,2.0,,,"$48,572.35"
7467,TX,TX,77339,89306.39,36385.0,30.0546093,-95.18826290000001,1.0,,,"$89,306.39"
7468,TX,TX,77339,89306.39,93293.0,30.06707,-95.24705,5.0,,,"$89,306.39"
7469,TX,TX,77338,41973.55,89595.0,30.014481,-95.265,2.0,,,"$41,973.55"
