,Zip Code,Number of Stations,Average AGI,Number of Connectors,AGI Range,Percentage of Total Zips
423,92201,7,39844.31,17.0,<50k,28.25
424,95492,7,80193.88,18.0,75k-100k,15.33
425,29607,7,68370.3,16.0,50k-75k,37.0
426,92103,7,97939.11,19.0,75k-100k,15.33
427,98133,7,62063.37,12.0,50k-75k,37.0
428,80021,7,66864.2,14.0,50k-75k,37.0
429,76107,7,154331.36999999997,15.0,150k-175k,1.78
430,91702,7,44420.16999999999,28.0,<50k,28.25
431,02062,7,83585.02,21.0,75k-100k,15.33
432,80109,7,107477.89,17.0,100k-125k,7.38
433,12203,7,75502.52,13.0,75k-100k,15.33
434,97140,7,94309.39,13.0,75k-100k,15.33
435,81501,7,37389.41,10.0,<50k,28.25
436,46032,7,154486.66,8.0,150k-175k,1.78
437,94954,7,77350.21999999999,27.0,75k-100k,15.33
438,20166,7,82348.71,18.0,75k-100k,15.33
439,01803,7,93696.58999999998,16.0,75k-100k,15.33
440,94070,7,211268.69999999998,19.0,175k+,5.88
441,21228,7,73035.32,21.0,50k-75k,37.0
442,37067,7,121735.23,20.0,100k-125k,7.38
443,02169,7,62102.28999999999,14.0,50k-75k,37.0
444,06880,7,413736.77,13.0,175k+,5.88
445,75024,7,129357.81000000003,27.0,125k-150k,3.78
446,22030,7,99580.91000000002,21.0,75k-100k,15.33
447,95476,7,99720.84999999999,14.0,75k-100k,15.33
448,06460,7,79425.89,13.0,75k-100k,15.33
449,97214,7,63894.62,19.0,50k-75k,37.0
450,60601,7,216274.74,20.0,175k+,5.88
451,98368,7,72427.76,10.0,50k-75k,37.0
452,64506,7,64032.68,27.0,50k-75k,37.0
453,30022,7,132520.34,21.0,125k-150k,3.78
454,37206,7,55664.38,19.0,50k-75k,37.0
455,64114,7,63363.299999999996,16.0,50k-75k,37.0
456,21045,7,74287.37,15.0,50k-75k,37.0
457,65616,7,44561.200000000004,21.0,<50k,28.25
458,10128,7,327630.21,14.0,175k+,5.88
459,15219,7,43961.57,36.0,<50k,28.25
460,90405,7,144703.37,17.0,125k-150k,3.78
461,30337,7,37795.48,42.0,<50k,28.25
462,80020,7,74989.88,16.0,50k-75k,37.0
463,93901,7,59867.520000000004,16.0,50k-75k,37.0
464,94553,7,82639.54,20.0,75k-100k,15.33
465,23005,7,69536.33,11.0,50k-75k,37.0
466,60173,7,90599.86,25.0,75k-100k,15.33
467,21029,7,186684.44999999998,10.0,175k+,5.88
468,34102,7,694738.2400000001,17.0,175k+,5.88
469,94115,7,229438.58000000002,15.0,175k+,5.88
470,60607,7,128247.57999999999,15.0,125k-150k,3.78
471,99362,7,60517.83000000001,9.0,50k-75k,37.0
472,92831,7,68645.91000000002,38.0,50k-75k,37.0
473,30329,7,68318.55,18.0,50k-75k,37.0
474,84101,7,92947.16000000002,17.0,75k-100k,15.33
475,20110,7,60376.299999999996,13.0,50k-75k,37.0
476,97217,7,58743.41999999999,22.0,50k-75k,37.0
477,75204,7,97943.86,12.0,75k-100k,15.33
478,32202,7,135300.55000000002,18.0,125k-150k,3.78
