,Zip Code,Number of Stations,Average AGI,Number of Connectors,AGI Range,Percentage of Total Zips
1412,05478,3,54373.25,8.0,50k-75k,37.0
1413,55435,3,98258.97000000002,10.0,75k-100k,15.33
1414,64093,3,49706.36000000001,16.0,<50k,28.25
1415,02891,3,65428.07,6.0,50k-75k,37.0
1416,91790,3,49826.80000000001,14.0,<50k,28.25
1417,65807,3,39802.29,5.0,<50k,28.25
1418,85701,3,46541.670000000006,5.0,<50k,28.25
1419,44720,3,69185.16,7.0,50k-75k,37.0
1420,20759,3,187199.21,18.0,175k+,5.88
1421,84106,3,62375.34,6.0,50k-75k,37.0
1422,22835,3,47623.52,4.0,<50k,28.25
1423,02657,3,63962.93,10.0,50k-75k,37.0
1424,94960,3,184865.02,10.0,175k+,5.88
1425,55060,3,56691.80000000001,5.0,50k-75k,37.0
1426,80126,3,122556.77,5.0,100k-125k,7.38
1427,97141,3,48827.02,7.0,<50k,28.25
1428,64127,3,25664.17,24.0,<50k,28.25
1429,48220,3,50504.44999999999,4.0,50k-75k,37.0
1430,77338,3,41973.55,11.0,<50k,28.25
1431,34652,3,44687.329999999994,5.0,<50k,28.25
1432,11954,3,85884.98,6.0,75k-100k,15.33
1433,90250,3,45751.01,7.0,<50k,28.25
1434,94005,3,127031.99,6.0,125k-150k,3.78
1435,93907,3,63241.12,8.0,50k-75k,37.0
1436,98055,3,61151.5,12.0,50k-75k,37.0
1437,27707,3,65678.15,6.0,50k-75k,37.0
1438,32828,3,61546.38,10.0,50k-75k,37.0
1439,43026,3,71888.57,5.0,50k-75k,37.0
1440,70433,3,95669.14999999998,11.0,75k-100k,15.33
1441,91006,3,111917.97000000002,5.0,100k-125k,7.38
1442,95206,3,36287.5,5.0,<50k,28.25
1443,21090,3,71725.1,24.0,50k-75k,37.0
1444,02893,3,50098.03,5.0,50k-75k,37.0
1445,95605,3,42101.41,10.0,<50k,28.25
1446,30044,3,42067.68,3.0,<50k,28.25
1447,31901,3,52505.62,6.0,50k-75k,37.0
1448,30032,3,30398.22,6.0,<50k,28.25
1449,02882,3,84095.31,6.0,75k-100k,15.33
1450,89044,3,100438.45,6.0,100k-125k,7.38
1451,94028,3,701154.7600000001,8.0,175k+,5.88
1452,03276,3,48754.85,3.0,<50k,28.25
1453,87102,3,33100.11,5.0,<50k,28.25
1454,14203,3,65671.08,8.0,50k-75k,37.0
1455,40206,3,75027.12,6.0,75k-100k,15.33
1456,20854,3,284287.51,11.0,175k+,5.88
1457,77494,3,143330.15,11.0,125k-150k,3.78
1458,01940,3,154599.85,5.0,150k-175k,1.78
1459,83025,3,590157.5,7.0,175k+,5.88
1460,06443,3,146841.38,6.0,125k-150k,3.78
1461,63376,3,62268.57,4.0,50k-75k,37.0
1462,97759,3,86243.8,6.0,75k-100k,15.33
1463,36606,3,40978.47,10.0,<50k,28.25
1464,77054,3,54530.44999999999,9.0,50k-75k,37.0
1465,01035,3,66640.22,3.0,50k-75k,37.0
1466,18974,3,73300.91,3.0,50k-75k,37.0
1467,32204,3,65446.03,5.0,50k-75k,37.0
1468,03885,3,114858.02,4.0,100k-125k,7.38
1469,64012,3,58420.68,16.0,50k-75k,37.0
1470,03909,3,83740.59,4.0,75k-100k,15.33
1471,53212,3,35596.17,6.0,<50k,28.25
1472,52002,3,72184.95,5.0,50k-75k,37.0
1473,60012,3,111582.64,5.0,100k-125k,7.38
1474,92083,3,40725.94,5.0,<50k,28.25
1475,55445,3,65448.81,14.0,50k-75k,37.0
1476,12946,3,68315.27,6.0,50k-75k,37.0
1477,47130,3,48229.53,5.0,<50k,28.25
1478,33431,3,178235.43000000002,6.0,175k+,5.88
1479,60614,3,212196.62,6.0,175k+,5.88
1480,10507,3,194704.79999999996,6.0,175k+,5.88
1481,93920,3,52618.31,10.0,50k-75k,37.0
1482,94607,3,62489.71,21.0,50k-75k,37.0
1483,60540,3,144214.4,5.0,125k-150k,3.78
1484,93465,3,83259.29,5.0,75k-100k,15.33
1485,95819,3,106854.06,3.0,100k-125k,7.38
1486,25443,3,81509.04,11.0,75k-100k,15.33
1487,02446,3,139883.08,6.0,125k-150k,3.78
1488,98110,3,152122.49,6.0,150k-175k,1.78
1489,24016,3,32144.33,8.0,<50k,28.25
1490,83706,3,67536.61,6.0,50k-75k,37.0
1491,30518,3,63222.62,3.0,50k-75k,37.0
1492,44241,3,53525.55000000001,7.0,50k-75k,37.0
1493,80634,3,64385.47,7.0,50k-75k,37.0
1494,80238,3,149769.87,4.0,125k-150k,3.78
1495,90262,3,31934.78,8.0,<50k,28.25
1496,92610,3,111362.45,8.0,100k-125k,7.38
1497,98424,3,63010.84,12.0,50k-75k,37.0
1498,33605,3,32507.51,5.0,<50k,28.25
1499,37916,3,19461.29,15.0,<50k,28.25
1500,10607,3,95973.60000000002,5.0,75k-100k,15.33
1501,37909,3,55034.97,5.0,50k-75k,37.0
1502,20601,3,65918.24,5.0,50k-75k,37.0
1503,95685,3,65828.7,6.0,50k-75k,37.0
1504,90740,3,93958.27,6.0,75k-100k,15.33
1505,40509,3,74275.0,10.0,50k-75k,37.0
1506,97211,3,62650.13999999999,4.0,50k-75k,37.0
1507,31904,3,75770.69,7.0,75k-100k,15.33
1508,75019,3,136249.55,7.0,125k-150k,3.78
1509,43606,3,57956.05000000001,3.0,50k-75k,37.0
1510,02914,3,42934.94,5.0,<50k,28.25
1511,19096,3,199081.29999999996,4.0,175k+,5.88
1512,95382,3,67953.2,6.0,50k-75k,37.0
1513,46225,3,29969.62,8.0,<50k,28.25
1514,92804,3,42076.13,3.0,<50k,28.25
1515,44308,3,55867.74,4.0,50k-75k,37.0
1516,11791,3,214561.63,8.0,175k+,5.88
1517,21234,3,53463.98,4.0,50k-75k,37.0
1518,60473,3,49596.47,5.0,<50k,28.25
1519,01923,3,81017.47,9.0,75k-100k,15.33
1520,77090,3,37583.75,9.0,<50k,28.25
1521,90755,3,71276.66,6.0,50k-75k,37.0
1522,49008,3,70884.92,8.0,50k-75k,37.0
1523,92346,3,61281.04,19.0,50k-75k,37.0
1524,97222,3,54689.23,6.0,50k-75k,37.0
1525,95118,3,99787.25,13.0,75k-100k,15.33
1526,92054,3,53592.44999999999,10.0,50k-75k,37.0
1527,40207,3,118931.62,4.0,100k-125k,7.38
1528,78636,3,70304.55,6.0,50k-75k,37.0
1529,78501,3,41756.21,6.0,<50k,28.25
1530,97132,3,69852.06,4.0,50k-75k,37.0
1531,34982,3,38567.26,4.0,<50k,28.25
1532,32825,3,44358.80000000001,5.0,<50k,28.25
1533,23602,3,51349.85,4.0,50k-75k,37.0
1534,54601,3,58431.28,3.0,50k-75k,37.0
1535,85295,3,79875.22,6.0,75k-100k,15.33
1536,21702,3,67307.57,6.0,50k-75k,37.0
1537,78749,3,84220.93,8.0,75k-100k,15.33
1538,34233,3,61891.80000000001,8.0,50k-75k,37.0
1539,28227,3,51436.77,6.0,50k-75k,37.0
1540,20688,3,96945.45,5.0,75k-100k,15.33
1541,71913,3,52349.13,4.0,50k-75k,37.0
1542,17602,3,49207.85,8.0,<50k,28.25
1543,22192,3,80100.14,13.0,75k-100k,15.33
1544,78201,3,32908.79,11.0,<50k,28.25
1545,20170,3,86583.52,12.0,75k-100k,15.33
1546,77008,3,133473.0,5.0,125k-150k,3.78
1547,06360,3,46711.4,7.0,<50k,28.25
1548,06109,3,78059.19,4.0,75k-100k,15.33
1549,02119,3,37047.49,12.0,<50k,28.25
1550,60077,3,62348.78,8.0,50k-75k,37.0
1551,13210,3,41174.72,7.0,<50k,28.25
1552,33614,3,32042.38,8.0,<50k,28.25
1553,50266,3,96527.13,14.0,75k-100k,15.33
1554,85042,3,45800.44999999999,7.0,<50k,28.25
1555,90037,3,25611.2,10.0,<50k,28.25
1556,12065,3,82264.53,6.0,75k-100k,15.33
1557,85210,3,38113.02,7.0,<50k,28.25
1558,91007,3,92012.3,12.0,75k-100k,15.33
1559,91103,3,85588.84,16.0,75k-100k,15.33
1560,54467,3,60638.52,3.0,50k-75k,37.0
1561,60176,3,39951.05,7.0,<50k,28.25
1562,28607,3,53484.38,4.0,50k-75k,37.0
1563,30458,3,42774.07,4.0,<50k,28.25
1564,44113,3,64102.46,7.0,50k-75k,37.0
1565,95129,3,146887.99,4.0,125k-150k,3.78
1566,06260,3,51626.03,6.0,50k-75k,37.0
1567,38401,3,49738.85,5.0,<50k,28.25
1568,30907,3,67320.58,11.0,50k-75k,37.0
1569,58201,3,70487.3,4.0,50k-75k,37.0
1570,30041,3,107726.27,6.0,100k-125k,7.38
1571,12095,3,48352.94999999999,5.0,<50k,28.25
1572,23860,3,42055.97,4.0,<50k,28.25
1573,94611,3,206635.02,24.0,175k+,5.88
1574,66215,3,67964.21,13.0,50k-75k,37.0
1575,44130,3,47587.57,5.0,<50k,28.25
1576,79905,3,24337.28,3.0,<50k,28.25
1577,34110,3,186776.73,5.0,175k+,5.88
1578,95212,3,61579.329999999994,3.0,50k-75k,37.0
1579,95456,3,63185.29,5.0,50k-75k,37.0
1580,35203,3,99933.08,12.0,75k-100k,15.33
1581,10007,3,597923.12,6.0,175k+,5.88
1582,30519,3,67484.92,12.0,50k-75k,37.0
1583,28115,3,57194.69,6.0,50k-75k,37.0
1584,25303,3,55018.65,4.0,50k-75k,37.0
1585,49068,3,59141.13999999999,12.0,50k-75k,37.0
1586,85209,3,57923.96,6.0,50k-75k,37.0
1587,52601,3,51862.94,6.0,50k-75k,37.0
1588,27360,3,42893.35,5.0,<50k,28.25
1589,60120,3,44129.34,5.0,<50k,28.25
1590,80234,3,66692.34,12.0,50k-75k,37.0
1591,18104,3,74649.66,11.0,50k-75k,37.0
1592,13617,3,57330.0,6.0,50k-75k,37.0
1593,77845,3,91626.94,3.0,75k-100k,15.33
1594,32124,3,67149.21,5.0,50k-75k,37.0
1595,55415,3,147933.57,11.0,125k-150k,3.78
1596,02740,3,39740.92,6.0,<50k,28.25
1597,06042,3,61125.06,4.0,50k-75k,37.0
1598,80013,3,54868.05000000001,5.0,50k-75k,37.0
1599,72210,3,55908.38,14.0,50k-75k,37.0
1600,98245,3,88871.64,5.0,75k-100k,15.33
1601,77056,3,359488.79,6.0,175k+,5.88
1602,33612,3,33995.42,5.0,<50k,28.25
1603,75032,3,113362.3,7.0,100k-125k,7.38
1604,93427,3,70052.76,14.0,50k-75k,37.0
1605,57701,3,45791.06,7.0,<50k,28.25
1606,06355,3,96263.93,4.0,75k-100k,15.33
1607,53715,3,43335.93,10.0,<50k,28.25
1608,97322,3,45077.19,5.0,<50k,28.25
1609,02035,3,101808.21,6.0,100k-125k,7.38
1610,82501,3,56646.02,4.0,50k-75k,37.0
1611,78676,3,91363.75,3.0,75k-100k,15.33
1612,11367,3,57501.55000000001,6.0,50k-75k,37.0
1613,80113,3,183956.45000000004,9.0,175k+,5.88
1614,78681,3,89987.95,5.0,75k-100k,15.33
1615,39759,3,50022.27,5.0,50k-75k,37.0
1616,28645,3,41990.32,6.0,<50k,28.25
1617,45324,3,45966.94999999999,3.0,<50k,28.25
1618,28054,3,44889.48,5.0,<50k,28.25
1619,19422,3,145994.99,14.0,125k-150k,3.78
1620,23220,3,59622.93,7.0,50k-75k,37.0
1621,10033,3,44471.66,3.0,<50k,28.25
1622,92106,3,132866.49,4.0,125k-150k,3.78
1623,92354,3,65970.97,16.0,50k-75k,37.0
1624,28301,3,29820.849999999995,10.0,<50k,28.25
1625,94503,3,67735.69,7.0,50k-75k,37.0
1626,06082,3,59860.579999999994,3.0,50k-75k,37.0
1627,59758,3,53524.11000000001,14.0,50k-75k,37.0
1628,17815,3,57295.56,16.0,50k-75k,37.0
1629,48043,3,39381.45,8.0,<50k,28.25
1630,01301,3,50181.93,5.0,50k-75k,37.0
1631,05482,3,132900.97,6.0,125k-150k,3.78
1632,60131,3,44085.63999999999,5.0,<50k,28.25
1633,14564,3,114897.79,11.0,100k-125k,7.38
1634,91345,3,45914.77,17.0,<50k,28.25
1635,53154,3,61790.94999999999,4.0,50k-75k,37.0
1636,68521,3,49970.88,12.0,<50k,28.25
1637,43210,3,19906.12,4.0,<50k,28.25
1638,02128,3,42392.79,31.0,<50k,28.25
1639,06111,3,67007.12,8.0,50k-75k,37.0
1640,91405,3,36084.47,8.0,<50k,28.25
1641,22203,3,96014.55,4.0,75k-100k,15.33
1642,02151,3,48260.71,7.0,<50k,28.25
1643,28771,3,38946.45,7.0,<50k,28.25
1644,32609,3,33739.48,5.0,<50k,28.25
1645,23831,3,60617.28,12.0,50k-75k,37.0
1646,28403,3,59685.93,4.0,50k-75k,37.0
1647,02140,3,103186.8,6.0,100k-125k,7.38
1648,80237,3,101083.51,13.0,100k-125k,7.38
1649,21784,3,92215.45,4.0,75k-100k,15.33
1650,30501,3,48679.25,8.0,<50k,28.25
1651,52807,3,84307.17,11.0,75k-100k,15.33
1652,30291,3,30798.92,6.0,<50k,28.25
1653,75069,3,81683.37,6.0,75k-100k,15.33
1654,48442,3,59640.87,6.0,50k-75k,37.0
1655,66214,3,55449.22,18.0,50k-75k,37.0
1656,27713,3,71391.83,6.0,50k-75k,37.0
1657,01460,3,105436.32,10.0,100k-125k,7.38
1658,84043,3,79445.69,9.0,75k-100k,15.33
1659,07114,3,28563.5,9.0,<50k,28.25
1660,51501,3,39763.24,10.0,<50k,28.25
1661,60505,3,33008.37,8.0,<50k,28.25
1662,30265,3,75078.25,6.0,75k-100k,15.33
1663,97333,3,64604.43,15.0,50k-75k,37.0
1664,46254,3,38832.0,4.0,<50k,28.25
1665,05156,3,46355.9,18.0,<50k,28.25
1666,33884,3,64545.88,5.0,50k-75k,37.0
1667,14424,3,66725.61,4.0,50k-75k,37.0
1668,48098,3,135067.36,8.0,125k-150k,3.78
1669,29418,3,42499.83,12.0,<50k,28.25
1670,20004,3,155581.0,8.0,150k-175k,1.78
1671,90650,3,42907.05,11.0,<50k,28.25
1672,30534,3,62624.63999999999,12.0,50k-75k,37.0
1673,23294,3,48300.43,7.0,<50k,28.25
1674,60603,3,458127.13999999996,8.0,175k+,5.88
1675,92110,3,69357.44,5.0,50k-75k,37.0
1676,17033,3,80045.09,8.0,75k-100k,15.33
1677,23113,3,148620.5,6.0,125k-150k,3.78
1678,18015,3,66318.58,7.0,50k-75k,37.0
1679,94941,3,260677.5,8.0,175k+,5.88
1680,12571,3,74761.66,8.0,50k-75k,37.0
1681,30064,3,93174.89,4.0,75k-100k,15.33
1682,34972,3,39690.25,11.0,<50k,28.25
1683,99301,3,51814.87,4.0,50k-75k,37.0
1684,34746,3,37875.93,8.0,<50k,28.25
1685,60016,3,55478.63,6.0,50k-75k,37.0
1686,95776,3,57214.22,5.0,50k-75k,37.0
1687,22306,3,62710.65,4.0,50k-75k,37.0
1688,02906,3,124886.35000000002,8.0,100k-125k,7.38
1689,14228,3,63799.68,6.0,50k-75k,37.0
1690,06108,3,39435.63,5.0,<50k,28.25
1691,43085,3,83166.85,4.0,75k-100k,15.33
1692,60618,3,72054.27,6.0,50k-75k,37.0
1693,55904,3,50120.46,5.0,50k-75k,37.0
1694,98221,3,84123.79,3.0,75k-100k,15.33
1695,38104,3,67515.85,4.0,50k-75k,37.0
1696,53105,3,66362.07,5.0,50k-75k,37.0
1697,85715,3,71243.16,6.0,50k-75k,37.0
1698,46383,3,67857.37,6.0,50k-75k,37.0
1699,60660,3,58199.69,5.0,50k-75k,37.0
1700,01970,3,59776.78,14.0,50k-75k,37.0
1701,76712,3,79894.05,5.0,75k-100k,15.33
1702,30024,3,102863.87,8.0,100k-125k,7.38
1703,66205,3,107824.06,12.0,100k-125k,7.38
1704,80233,3,49975.69999999999,2.0,<50k,28.25
1705,06092,3,188118.27,3.0,175k+,5.88
1706,44145,3,107212.09000000001,8.0,100k-125k,7.38
1707,72703,3,74414.87,4.0,50k-75k,37.0
1708,27949,3,79560.51,7.0,75k-100k,15.33
1709,76201,3,36126.44,11.0,<50k,28.25
1710,89103,3,48117.44,8.0,<50k,28.25
1711,77531,3,53842.49,3.0,50k-75k,37.0
1712,29016,3,76872.87,5.0,75k-100k,15.33
1713,01960,3,64323.69999999999,9.0,50k-75k,37.0
1714,96738,3,61106.15,14.0,50k-75k,37.0
1715,06107,3,153904.82,4.0,150k-175k,1.78
1716,91770,3,38741.36,10.0,<50k,28.25
1717,18702,3,41339.77,5.0,<50k,28.25
1718,55303,3,65266.31,5.0,50k-75k,37.0
1719,29403,3,48949.34,5.0,<50k,28.25
1720,35801,3,115251.68,6.0,100k-125k,7.38
1721,90803,3,119748.01,10.0,100k-125k,7.38
1722,92656,3,97865.27,7.0,75k-100k,15.33
1723,02339,3,114303.55,7.0,100k-125k,7.38
1724,93109,3,120777.23,12.0,100k-125k,7.38
1725,91335,3,42996.14,3.0,<50k,28.25
1726,54901,3,45075.21,3.0,<50k,28.25
1727,55128,3,58182.32,13.0,50k-75k,37.0
1728,27577,3,48039.02,5.0,<50k,28.25
1729,85008,3,33253.84,4.0,<50k,28.25
1730,02908,3,37844.34,10.0,<50k,28.25
1731,75701,3,54469.170000000006,3.0,50k-75k,37.0
1732,48105,3,114787.35000000002,12.0,100k-125k,7.38
1733,94015,3,65130.96,7.0,50k-75k,37.0
1734,21239,3,42477.45,12.0,<50k,28.25
1735,80504,3,79665.52,5.0,75k-100k,15.33
1736,49441,3,51810.30000000001,12.0,50k-75k,37.0
1737,65201,3,62056.4,12.0,50k-75k,37.0
1738,77840,3,37832.21,5.0,<50k,28.25
1739,06062,3,59214.93,6.0,50k-75k,37.0
1740,89183,3,53022.24,5.0,50k-75k,37.0
1741,95247,3,71533.82,4.0,50k-75k,37.0
1742,30005,3,130125.42,6.0,125k-150k,3.78
1743,41048,3,81513.77,16.0,75k-100k,15.33
1744,28205,3,50027.37,6.0,50k-75k,37.0
1745,23060,3,75621.36,6.0,75k-100k,15.33
1746,74133,3,73927.88,6.0,50k-75k,37.0
1747,95758,3,66006.43,7.0,50k-75k,37.0
1748,21075,3,81779.46,8.0,75k-100k,15.33
1749,54235,3,57476.61000000001,4.0,50k-75k,37.0
1750,99352,3,87005.85,6.0,75k-100k,15.33
1751,27834,3,41102.58,6.0,<50k,28.25
1752,32207,3,76445.7,6.0,75k-100k,15.33
1753,27603,3,60361.51,6.0,50k-75k,37.0
1754,77098,3,178060.23,6.0,175k+,5.88
1755,95003,3,116896.73,8.0,100k-125k,7.38
1756,37862,3,43349.41,7.0,<50k,28.25
1757,33305,3,131636.41,4.0,125k-150k,3.78
1758,44256,3,77493.48,8.0,75k-100k,15.33
1759,85224,3,60472.98,6.0,50k-75k,37.0
1760,80031,3,69377.19,12.0,50k-75k,37.0
1761,60563,3,95008.90999999999,6.0,75k-100k,15.33
1762,97058,3,48861.420000000006,10.0,<50k,28.25
1763,05819,3,47950.13,8.0,<50k,28.25
1764,37201,3,195045.83,8.0,175k+,5.88
1765,44106,3,67014.3,11.0,50k-75k,37.0
1766,91367,3,103896.11,7.0,100k-125k,7.38
1767,21703,3,60454.04,5.0,50k-75k,37.0
1768,21704,3,111225.11,5.0,100k-125k,7.38
1769,86351,3,85262.15,3.0,75k-100k,15.33
1770,28712,3,57499.61000000001,5.0,50k-75k,37.0
1771,95901,3,43514.91,7.0,<50k,28.25
1772,89123,3,60512.78,5.0,50k-75k,37.0
1773,70601,3,40737.3,10.0,<50k,28.25
1774,32541,3,109912.07,6.0,100k-125k,7.38
1775,01453,3,56702.829999999994,8.0,50k-75k,37.0
1776,75231,3,61062.97,5.0,50k-75k,37.0
1777,55330,3,71086.17,6.0,50k-75k,37.0
1778,62002,3,48367.38999999999,3.0,<50k,28.25
1779,90746,3,57623.09,12.0,50k-75k,37.0
1780,98261,3,74932.79,4.0,50k-75k,37.0
1781,97526,3,48836.44999999999,6.0,<50k,28.25
1782,60613,3,97814.77,7.0,75k-100k,15.33
1783,04074,3,89057.10000000002,6.0,75k-100k,15.33
1784,75039,3,111904.46,8.0,100k-125k,7.38
1785,08822,3,115953.86,5.0,100k-125k,7.38
1786,10005,3,614329.55,5.0,175k+,5.88
1787,78251,3,49468.43,8.0,<50k,28.25
1788,01876,3,76150.28,7.0,75k-100k,15.33
1789,97210,3,139028.69,8.0,125k-150k,3.78
1790,89503,3,45429.22,6.0,<50k,28.25
1791,33062,3,127693.74,5.0,125k-150k,3.78
1792,72201,3,126296.3,5.0,125k-150k,3.78
1793,57401,3,63600.76,5.0,50k-75k,37.0
1794,64503,3,40723.38,18.0,<50k,28.25
1795,27101,3,51485.18,5.0,50k-75k,37.0
1796,21236,3,59974.57,10.0,50k-75k,37.0
1797,92064,3,114040.09000000001,4.0,100k-125k,7.38
1798,80526,3,60990.24,6.0,50k-75k,37.0
1799,34109,3,137772.62,5.0,125k-150k,3.78
1800,33761,3,70960.36,5.0,50k-75k,37.0
1801,45219,3,31891.81,4.0,<50k,28.25
1802,94002,3,160323.28,8.0,150k-175k,1.78
1803,64150,3,54493.71,14.0,50k-75k,37.0
1804,10536,3,278360.88,6.0,175k+,5.88
1805,97420,3,46448.99,4.0,<50k,28.25
1806,75248,3,124065.60000000002,5.0,100k-125k,7.38
1807,37912,3,36608.91,5.0,<50k,28.25
1808,02130,3,80298.96,8.0,75k-100k,15.33
1809,03060,3,46447.01,8.0,<50k,28.25
1810,27610,3,35852.67,6.0,<50k,28.25
1811,77380,3,146105.6,9.0,125k-150k,3.78
1812,95449,3,53086.76,11.0,50k-75k,37.0
1813,93063,3,74207.27,6.0,50k-75k,37.0
1814,78734,3,133230.47,8.0,125k-150k,3.78
1815,90039,3,75448.94,5.0,75k-100k,15.33
1816,21215,3,38793.54,7.0,<50k,28.25
1817,05033,3,50397.99,14.0,50k-75k,37.0
1818,46410,3,45920.88,9.0,<50k,28.25
1819,49504,3,44217.46,6.0,<50k,28.25
1820,18428,3,57439.11000000001,3.0,50k-75k,37.0
1821,19355,3,191959.72,11.0,175k+,5.88
1822,08054,3,90075.22000000002,5.0,75k-100k,15.33
1823,55901,3,64145.86000000001,6.0,50k-75k,37.0
1824,47708,3,99827.59000000001,8.0,75k-100k,15.33
1825,68410,3,54269.69999999999,5.0,50k-75k,37.0
1826,94404,3,160540.8,18.0,150k-175k,1.78
1827,73401,3,53978.670000000006,9.0,50k-75k,37.0
1828,37764,3,46702.94999999999,3.0,<50k,28.25
1829,20176,3,121555.63,11.0,100k-125k,7.38
1830,76205,3,54678.52,7.0,50k-75k,37.0
1831,77573,3,94389.61,8.0,75k-100k,15.33
1832,81211,3,60148.38,6.0,50k-75k,37.0
1833,77373,3,53461.13999999999,7.0,50k-75k,37.0
1834,48187,3,75659.3,7.0,75k-100k,15.33
1835,94546,3,79274.64,13.0,75k-100k,15.33
1836,93021,3,88892.01,16.0,75k-100k,15.33
1837,06905,3,109075.39999999998,6.0,100k-125k,7.38
1838,45246,3,57938.15,5.0,50k-75k,37.0
1839,29582,3,62674.16,5.0,50k-75k,37.0
1840,92065,3,72828.7,6.0,50k-75k,37.0
1841,90272,3,464555.93,6.0,175k+,5.88
1842,48823,3,91922.58,3.0,75k-100k,15.33
1843,84116,3,37428.93,17.0,<50k,28.25
1844,49442,3,31843.26,10.0,<50k,28.25
1845,92392,3,42502.79,13.0,<50k,28.25
1846,78411,3,59246.55000000001,6.0,50k-75k,37.0
1847,29579,3,53932.13999999999,7.0,50k-75k,37.0
1848,12144,3,59035.38,6.0,50k-75k,37.0
1849,64131,3,45774.44999999999,18.0,<50k,28.25
1850,02364,3,85551.83,5.0,75k-100k,15.33
1851,28031,3,128690.96,5.0,125k-150k,3.78
1852,95757,3,79610.4,6.0,75k-100k,15.33
1853,97219,3,101314.60000000002,4.0,100k-125k,7.38
1854,79124,3,110986.3,14.0,100k-125k,7.38
1855,30014,3,47762.59,6.0,<50k,28.25
1856,95833,3,49911.51,5.0,<50k,28.25
1857,80918,3,55930.57,8.0,50k-75k,37.0
1858,95076,3,50299.46,10.0,50k-75k,37.0
1859,64801,3,44969.73,6.0,<50k,28.25
1860,02842,3,67491.45,6.0,50k-75k,37.0
1861,60402,3,43959.37,5.0,<50k,28.25
1862,03053,3,81550.82,5.0,75k-100k,15.33
1863,98312,3,56572.59,7.0,50k-75k,37.0
1864,38655,3,71074.11,5.0,50k-75k,37.0
1865,48176,3,93561.81,4.0,75k-100k,15.33
1866,95126,3,101831.59000000001,7.0,100k-125k,7.38
1867,80550,3,98515.49,4.0,75k-100k,15.33
1868,23462,3,46896.12,7.0,<50k,28.25
1869,60137,3,135881.93,8.0,125k-150k,3.78
1870,13165,3,43705.12,14.0,<50k,28.25
1871,93033,3,34956.93,5.0,<50k,28.25
1872,78597,3,88572.58,9.0,75k-100k,15.33
1873,92657,3,492229.23,10.0,175k+,5.88
1874,76022,3,48844.07,3.0,<50k,28.25
1875,04105,3,142794.42,6.0,125k-150k,3.78
1876,77701,3,30023.99,5.0,<50k,28.25
1877,93108,3,433060.17,9.0,175k+,5.88
1878,23320,3,61052.65,6.0,50k-75k,37.0
1879,78617,3,35783.21,18.0,<50k,28.25
1880,92056,3,61284.30000000001,8.0,50k-75k,37.0
1881,55110,3,86556.79,4.0,75k-100k,15.33
1882,78640,3,49047.05000000001,8.0,<50k,28.25
1883,95220,3,76218.52,4.0,75k-100k,15.33
1884,95822,3,51039.61000000001,8.0,50k-75k,37.0
1885,75202,3,150006.25,7.0,150k-175k,1.78
1886,46545,3,48321.16,9.0,<50k,28.25
1887,32920,3,55340.0,4.0,50k-75k,37.0
1888,62025,3,86156.92,5.0,75k-100k,15.33
1889,98103,3,97883.5,6.0,75k-100k,15.33
1890,13088,3,51863.01,12.0,50k-75k,37.0
1891,97304,3,68572.34,5.0,50k-75k,37.0
1892,80012,3,40681.66,8.0,<50k,28.25
1893,90059,3,28119.73,12.0,<50k,28.25
1894,08012,3,60150.21,6.0,50k-75k,37.0
1895,97501,3,41507.02,3.0,<50k,28.25
1896,12845,3,63844.87,6.0,50k-75k,37.0
1897,20707,3,60562.11000000001,14.0,50k-75k,37.0
1898,91010,3,54545.05000000001,9.0,50k-75k,37.0
1899,35242,3,130658.75,8.0,125k-150k,3.78
1900,34986,3,77370.64,10.0,75k-100k,15.33
1901,60542,3,75527.99,12.0,75k-100k,15.33
1902,28387,3,71714.39,5.0,50k-75k,37.0
1903,02301,3,41437.76,5.0,<50k,28.25
1904,35233,3,80284.75,7.0,75k-100k,15.33
1905,95540,3,54345.5,7.0,50k-75k,37.0
1906,64468,3,50728.31,12.0,50k-75k,37.0
1907,89512,3,31276.400000000005,10.0,<50k,28.25
1908,49686,3,68167.07,3.0,50k-75k,37.0
1909,46703,3,52119.04,10.0,50k-75k,37.0
1910,78752,3,39447.9,9.0,<50k,28.25
1911,53158,3,82178.89,10.0,75k-100k,15.33
1912,91106,3,125800.67,7.0,125k-150k,3.78
1913,75208,3,62130.43,7.0,50k-75k,37.0
1914,89431,3,36985.92,11.0,<50k,28.25
1915,52241,3,73377.44,28.0,50k-75k,37.0
1916,89107,3,53645.31,8.0,50k-75k,37.0
1917,95570,3,61384.07,7.0,50k-75k,37.0
1918,32114,3,28863.67,6.0,<50k,28.25
1919,33483,3,306033.48,5.0,175k+,5.88
1920,95210,3,34029.21,5.0,<50k,28.25
1921,28211,3,232501.55999999997,8.0,175k+,5.88
1922,87110,3,52525.98,5.0,50k-75k,37.0
1923,33441,3,53498.98,5.0,50k-75k,37.0
1924,96825,3,101800.86,5.0,100k-125k,7.38
1925,95322,3,45079.9,23.0,<50k,28.25
1926,91723,3,50619.12,10.0,50k-75k,37.0
1927,80123,3,91695.82,9.0,75k-100k,15.33
1928,98198,3,58249.69999999999,7.0,50k-75k,37.0
1929,77027,3,236354.65,7.0,175k+,5.88
1930,19428,3,85033.52,6.0,75k-100k,15.33
1931,55443,3,65483.579999999994,6.0,50k-75k,37.0
1932,37738,3,46872.69999999999,7.0,<50k,28.25
