,Old Zip,Zip Code,Nearest Zip Distance,Average AGI,Stn ID,Stn State,Stn Lat,Stn Lng,Connectors
487,89023,,,,74224.0,NV,36.660549200000005,-115.99342859999999,1.0
488,55144,,,,78261.0,MN,44.957108700000006,-93.00286329999999,8.0
489,28246,,,,78302.0,NC,35.2279466,-80.84318370000001,1.0
490,30539,,,,79364.0,GA,34.677725,-84.47715600000001,4.0
491,32723,,,,79404.0,FL,29.035930199999996,-81.302925,2.0
492,92697,,,,79962.0,CA,33.649946500000006,-117.84185759999998,2.0
493,92697,,,,79963.0,CA,33.6500115,-117.8419263,2.0
494,92697,,,,79965.0,CA,33.6499771,-117.8418924,2.0
495,27708,,,,80187.0,NC,35.9960425,-78.9475123,12.0
496,27708,,,,80188.0,NC,35.9962676,-78.9472186,2.0
497,11022,,,,81641.0,NY,40.787424200000004,-73.72999940000001,2.0
498,27710,,,,81839.0,NC,36.0070201,-78.9412623,2.0
499,89042,,,,85652.0,NV,37.7895856,-114.40883429999998,2.0
500,60196,,,,85919.0,IL,42.0453601,-88.04369179999999,2.0
501,78710,,,,87464.0,TX,30.338568199999997,-97.6622305,2.0
502,53788,,,,87695.0,WI,43.07757470000001,-89.3757569,2.0
503,32611,,,,87924.0,FL,29.650170000000003,-82.350386,4.0
504,32611,,,,88113.0,FL,29.645191999999998,-82.343314,4.0
505,32611,,,,88359.0,FL,29.6405891,-82.34972629999999,1.0
506,28275,,,,88015.0,NC,35.3699824,-83.2491378,1.0
507,90639,,,,88483.0,CA,33.905092100000005,-118.01750890000001,2.0
508,60208,,,,88778.0,IL,42.059688,-87.673608,8.0
509,60208,,,,88790.0,IL,42.051027000000005,-87.673839,6.0
510,60208,,,,88832.0,IL,42.050534000000006,-87.67334,2.0
511,84132,,,,93861.0,UT,40.771534499999994,-111.83969029999999,2.0
512,84138,,,,94374.0,UT,40.766064,-111.885551,4.0
513,15282,,,,94555.0,PA,40.4344654,-79.98644420000001,10.0
514,19089,,,,94558.0,PA,40.0441925,-75.35878559999999,2.0
515,97528,,,,73408.0,OR,42.461886,-123.322942,2.0
516,77843,,,,93080.0,TX,30.613220000000002,-96.33386,1.0
517,77843,,,,93082.0,TX,30.608928000000002,-96.344726,1.0
518,77843,,,,93083.0,TX,30.612816,-96.33864,2.0
519,05302,,,,93332.0,VT,42.854348,-72.56014300000001,2.0
520,30361,,,,73103.0,GA,33.786898,-84.3827319,1.0
521,30361,,,,73104.0,GA,33.786898,-84.3827319,1.0
